P08_01_0,67,157
P08_01_1,3,12
P08_01_10,2,77
P08_01_100,4,12
P08_01_101,0,4
P08_01_102,23,32
P08_01_103,0,14
P08_01_104,1,176
P08_01_105,49,176
P08_01_106,49,176
P08_01_107,0,176
P08_01_108,49,176
P08_01_109,0,176
P08_01_11,3,3
P08_01_110,49,176
P08_01_111,0,176
P08_01_112,49,176
P08_01_113,0,93
P08_01_114,2,11
P08_01_115,23,32
P08_01_116,8,24
P08_01_117,0,32
P08_01_118,1,33
P08_01_119,40,33
P08_01_12,0,59
P08_01_120,0,32
P08_01_121,1,33
P08_01_122,0,43
P08_01_123,1,43
P08_01_124,1,43
P08_01_125,9,37
P08_01_126,5,180
P08_01_127,9,38
P08_01_128,3,3
P08_01_129,1,38
P08_01_13,5,59
P08_01_130,0,85
P08_01_131,6,6
P08_01_132,3,3
P08_01_133,1,85
P08_01_134,0,5
P08_01_135,5,5
P08_01_136,6,0
P08_01_137,9,27
P08_01_138,1,5
P08_01_139,0,19
P08_01_14,6,6
P08_01_140,1,6
P08_01_141,2,11
P08_01_142,0,58
P08_01_143,2,42
P08_01_144,13,42
P08_01_145,3,8
P08_01_146,3,70
P08_01_147,1,18
P08_01_148,4,8
P08_01_149,1,5
P08_01_15,4,50
P08_01_150,4,70
P08_01_151,2,42
P08_01_152,2,63
P08_01_153,13,93
P08_01_154,0,93
P08_01_155,8,114
P08_01_16,1,50
P08_01_17,6,24
P08_01_18,17,65
P08_01_19,3,3
P08_01_2,0,64
P08_01_20,1,59
P08_01_21,3,3
P08_01_22,0,33
P08_01_23,3,8
P08_01_24,0,14
P08_01_25,0,19
P08_01_26,0,19
P08_01_27,0,32
P08_01_28,0,18
P08_01_29,1,18
P08_01_3,4,12
P08_01_30,3,8
P08_01_31,0,1
P08_01_32,0,4
P08_01_33,0,14
P08_01_34,3,3
P08_01_35,0,2
P08_01_36,3,19
P08_01_37,0,33
P08_01_38,13,19
P08_01_39,17,65
P08_01_4,0,50
P08_01_40,3,3
P08_01_41,0,13
P08_01_42,1,13
P08_01_43,3,64
P08_01_44,9,64
P08_01_45,23,6
P08_01_46,3,12
P08_01_47,1,64
P08_01_48,4,12
P08_01_49,1,33
P08_01_5,1,27
P08_01_50,0,33
P08_01_51,7,33
P08_01_52,1,33
P08_01_53,1,33
P08_01_54,5,33
P08_01_55,4,19
P08_01_56,3,12
P08_01_57,1,33
P08_01_58,4,12
P08_01_59,3,107
P08_01_6,6,0
P08_01_60,7,32
P08_01_61,7,32
P08_01_62,3,19
P08_01_63,0,176
P08_01_64,13,122
P08_01_65,0,14
P08_01_66,0,1
P08_01_67,16,176
P08_01_68,3,3
P08_01_69,0,5
P08_01_7,0,77
P08_01_70,1,5
P08_01_71,3,46
P08_01_72,16,176
P08_01_73,13,48
P08_01_74,6,0
P08_01_75,2,11
P08_01_76,2,63
P08_01_77,8,0
P08_01_78,2,11
P08_01_79,13,93
P08_01_8,1,77
P08_01_80,17,65
P08_01_81,5,33
P08_01_82,0,43
P08_01_83,6,0
P08_01_84,2,43
P08_01_85,8,0
P08_01_86,2,43
P08_01_87,7,43
P08_01_88,7,43
P08_01_89,23,33
P08_01_9,15,77
P08_01_90,17,65
P08_01_91,24,59
P08_01_92,8,24
P08_01_93,9,59
P08_01_94,1,50
P08_01_95,1,33
P08_01_96,1,32
P08_01_97,4,107
P08_01_98,3,12
P08_01_99,1,32
P08_02_0,67,157
P08_02_1,1,2
P08_02_10,4,8
P08_02_11,4,8
P08_02_12,4,70
P08_02_13,3,3
P08_02_14,0,70
P08_02_15,84,70
P08_02_16,4,6
P08_02_17,6,70
P08_02_18,6,70
P08_02_19,4,70
P08_02_2,3,70
P08_02_20,13,107
P08_02_21,0,9
P08_02_22,3,0
P08_02_23,2,9
P08_02_24,2,42
P08_02_25,2,63
P08_02_26,2,42
P08_02_27,6,0
P08_02_28,2,9
P08_02_29,2,63
P08_02_3,1,14
P08_02_30,8,0
P08_02_31,18,9
P08_02_32,1,9
P08_02_33,2,11
P08_02_4,1,2
P08_02_5,40,36
P08_02_6,3,8
P08_02_7,40,13
P08_02_8,40,10
P08_02_9,40,7
P08_03_0,67,157
P08_03_1,0,19
P08_03_10,40,37
P08_03_11,12,176
P08_03_12,40,176
P08_03_13,28,19
P08_03_14,0,7
P08_03_15,5,43
P08_03_16,5,43
P08_03_17,1,19
P08_03_18,3,8
P08_03_19,0,79
P08_03_2,3,19
P08_03_20,7,19
P08_03_21,11,7
P08_03_22,12,19
P08_03_23,40,213
P08_03_24,0,19
P08_03_25,1,26
P08_03_26,3,12
P08_03_27,1,68
P08_03_28,1,28
P08_03_29,4,12
P08_03_3,0,28
P08_03_30,1,7
P08_03_31,1,79
P08_03_32,4,8
P08_03_33,8,114
P08_03_4,12,37
P08_03_5,12,19
P08_03_6,12,187
P08_03_7,40,187
P08_03_8,12,68
P08_03_9,40,187
P08_04_0,67,157
P08_04_1,3,70
P08_04_10,1,7
P08_04_11,0,18
P08_04_12,1,13
P08_04_13,0,7
P08_04_14,0,13
P08_04_15,0,10
P08_04_16,0,13
P08_04_17,0,7
P08_04_18,0,10
P08_04_19,0,4
P08_04_2,6,114
P08_04_20,4,8
P08_04_21,3,8
P08_04_22,3,3
P08_04_23,0,5
P08_04_24,5,3
P08_04_25,0,7
P08_04_26,5,7
P08_04_27,0,2
P08_04_28,5,2
P08_04_29,0,2
P08_04_3,3,8
P08_04_30,1,2
P08_04_31,0,2
P08_04_32,1,2
P08_04_33,0,2
