P11_01_0,3,3
P11_01_1,0,7
P11_01_10,14,9
P11_01_11,1,22
P11_01_12,2,13
P11_01_13,2,13
P11_01_14,1,13
P11_01_15,2,13
P11_01_16,2,13
P11_01_17,2,13
P11_01_18,29,13
P11_01_19,29,13
P11_01_2,1,7
P11_01_20,1,13
P11_01_21,0,7
P11_01_22,29,7
P11_01_23,29,7
P11_01_24,1,7
P11_01_25,0,1
P11_01_26,29,1
P11_01_27,1,1
P11_01_28,0,1
P11_01_29,29,1
P11_01_3,1,5
P11_01_30,0,7
P11_01_31,29,2
P11_01_32,29,2
P11_01_33,1,2
P11_01_34,0,10
P11_01_35,29,10
P11_01_36,29,10
P11_01_37,1,10
P11_01_38,0,10
P11_01_39,29,10
P11_01_4,0,13
P11_01_40,29,10
P11_01_41,29,10
P11_01_42,1,9
P11_01_43,1,10
P11_01_44,0,6
P11_01_45,29,6
P11_01_46,1,6
P11_01_47,0,23
P11_01_48,9,27
P11_01_49,29,23
P11_01_5,2,13
P11_01_50,29,23
P11_01_51,1,9
P11_01_52,2,23
P11_01_53,2,23
P11_01_54,1,23
P11_01_55,2,13
P11_01_56,1,13
P11_01_57,0,13
P11_01_58,2,13
P11_01_59,1,13
P11_01_6,6,0
P11_01_60,9,27
P11_01_61,2,10
P11_01_62,0,1
P11_01_63,2,1
P11_01_64,0,7
P11_01_65,2,7
P11_01_66,1,7
P11_01_67,0,10
P11_01_68,2,10
P11_01_69,1,10
P11_01_7,1,13
P11_01_70,0,6
P11_01_71,2,6
P11_01_72,1,6
P11_01_73,2,2
P11_01_74,1,2
P11_01_75,14,11
P11_01_8,0,9
P11_01_9,62,9
P11_02_0,0,7
P11_02_1,3,3
P11_02_10,1,13
P11_02_11,0,10
P11_02_12,21,10
P11_02_13,40,10
P11_02_14,1,10
P11_02_15,1,10
P11_02_16,0,2
P11_02_17,1,2
P11_02_18,0,23
P11_02_19,15,23
P11_02_2,12,66
P11_02_20,1,23
P11_02_21,4,3
P11_02_3,1,7
P11_02_4,1,66
P11_02_5,4,3
P11_02_6,3,3
P11_02_7,0,13
P11_02_8,1,13
P11_02_9,0,13
P11_03_0,3,3
P11_03_1,0,23
P11_03_10,0,212
P11_03_11,1,212
P11_03_12,17,0
P11_03_13,17,0
P11_03_14,24,27
P11_03_15,8,0
P11_03_16,0,23
P11_03_17,67,23
P11_03_18,1,23
P11_03_19,6,245
P11_03_2,3,23
