P04_01_0,3,3
P04_01_1,40,3
P04_01_10,1,26
P04_01_100,1,26
P04_01_101,3,70
P04_01_102,1,1
P04_01_103,4,19
P04_01_104,18,19
P04_01_105,3,19
P04_01_106,18,238
P04_01_107,4,19
P04_01_108,18,19
P04_01_109,3,19
P04_01_11,5,5
P04_01_110,18,238
P04_01_111,4,19
P04_01_112,18,19
P04_01_113,15,19
P04_01_114,18,19
P04_01_115,3,3
P04_01_116,31,5
P04_01_117,1,5
P04_01_118,0,5
P04_01_119,0,5
P04_01_12,0,5
P04_01_120,5,36
P04_01_121,1,5
P04_01_122,6,24
P04_01_123,85,65
P04_01_124,0,31
P04_01_125,9,31
P04_01_126,4,31
P04_01_127,1,31
P04_01_128,18,19
P04_01_129,0,19
P04_01_13,4,8
P04_01_130,24,26
P04_01_131,3,12
P04_01_132,0,148
P04_01_133,3,148
P04_01_134,16,148
P04_01_135,5,19
P04_01_136,4,148
P04_01_137,3,12
P04_01_138,1,148
P04_01_139,4,12
P04_01_14,4,70
P04_01_140,4,19
P04_01_141,51,148
P04_01_142,88,19
P04_01_143,3,19
P04_01_144,31,71
P04_01_145,32,139
P04_01_146,5,31
P04_01_147,76,22
P04_01_148,6,0
P04_01_149,2,11
P04_01_15,0,4
P04_01_150,14,11
P04_01_151,0,1
P04_01_152,5,70
P04_01_153,4,70
P04_01_154,0,7
P04_01_155,1,7
P04_01_156,3,12
P04_01_157,0,53
P04_01_158,3,23
P04_01_159,0,53
P04_01_16,0,18
P04_01_160,30,53
P04_01_161,5,141
P04_01_162,0,53
P04_01_163,30,53
P04_01_164,59,141
P04_01_165,0,141
P04_01_166,5,141
P04_01_167,0,53
P04_01_168,30,53
P04_01_169,5,141
P04_01_17,1,18
P04_01_170,0,53
P04_01_171,30,53
P04_01_172,16,141
P04_01_173,0,141
P04_01_174,16,141
P04_01_175,48,141
P04_01_176,16,141
P04_01_177,5,141
P04_01_178,2,11
P04_01_179,14,11
P04_01_18,0,4
P04_01_180,3,8
P04_01_181,0,80
P04_01_182,1,80
P04_01_183,3,3
P04_01_184,0,23
P04_01_185,3,8
P04_01_186,0,1
P04_01_187,4,8
P04_01_188,4,3
P04_01_189,1,23
P04_01_19,1,4
P04_01_190,3,23
P04_01_191,16,102
P04_01_192,16,102
P04_01_193,20,1
